// Command: ./KChihoon_thd.exe 10000000 50 50

Part1 ---> sum: 50000005000000 

Part 2 ------> Parent : Start of  Execution------
 Child thread number 3, GrandChild thread number 159: 	 grandchild start=636001 	 grandchildend = 640000 	 grand childsum = 2552002000 
 Child thread number 0, GrandChild thread number 0: 	 grandchild start=1 	 grandchildend = 4000 	 grand childsum = 8002000 
 Child thread number 0, GrandChild thread number 1: 	 grandchild start=4001 	 grandchildend = 8000 	 grand childsum = 24002000 
 Child thread number 0, GrandChild thread number 2: 	 grandchild start=8001 	 grandchildend = 12000 	 grand childsum = 40002000 
 Child thread number 3, GrandChild thread number 160: 	 grandchild start=640001 	 grandchildend = 644000 	 grand childsum = 2568002000 
 Child thread number 1, GrandChild thread number 59: 	 grandchild start=236001 	 grandchildend = 240000 	 grand childsum = 952002000 
 Child thread number 4, GrandChild thread number 200: 	 grandchild start=800001 	 grandchildend = 804000 	 grand childsum = 3208002000 
 Child thread number 0, GrandChild thread number 3: 	 grandchild start=12001 	 grandchildend = 16000 	 grand childsum = 56002000 
 Child thread number 6, GrandChild thread number 300: 	 grandchild start=1200001 	 grandchildend = 1204000 	 grand childsum = 4808002000 
 Child thread number 3, GrandChild thread number 161: 	 grandchild start=644001 	 grandchildend = 648000 	 grand childsum = 2584002000 
 Child thread number 0, GrandChild thread number 4: 	 grandchild start=16001 	 grandchildend = 20000 	 grand childsum = 72002000 
 Child thread number 6, GrandChild thread number 301: 	 grandchild start=1204001 	 grandchildend = 1208000 	 grand childsum = 4824002000 
 Child thread number 1, GrandChild thread number 60: 	 grandchild start=240001 	 grandchildend = 244000 	 grand childsum = 968002000 
 Child thread number 4, GrandChild thread number 201: 	 grandchild start=804001 	 grandchildend = 808000 	 grand childsum = 3224002000 
 Child thread number 0, GrandChild thread number 5: 	 grandchild start=20001 	 grandchildend = 24000 	 grand childsum = 88002000 
 Child thread number 3, GrandChild thread number 162: 	 grandchild start=648001 	 grandchildend = 652000 	 grand childsum = 2600002000 
 Child thread number 1, GrandChild thread number 61: 	 grandchild start=244001 	 grandchildend = 248000 	 grand childsum = 984002000 
 Child thread number 6, GrandChild thread number 302: 	 grandchild start=1208001 	 grandchildend = 1212000 	 grand childsum = 4840002000 
 Child thread number 0, GrandChild thread number 6: 	 grandchild start=24001 	 grandchildend = 28000 	 grand childsum = 104002000 
 Child thread number 1, GrandChild thread number 62: 	 grandchild start=248001 	 grandchildend = 252000 	 grand childsum = 1000002000 
